type	geo
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.74166667,70.95833333
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.73611111,71.39722222
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.90833333,71.24166667
Barmer	25.74583333,71.66277778
Barmer	25.74583333,71.66277778
Barmer	25.74583333,71.66277778
Barmer	25.74583333,71.66277778
Barmer	25.74583333,71.66277778
Barmer	25.74583333,71.66277778
Barmer	25.74583333,71.66277778
Barmer	25.74583333,71.66277778
Barmer	25.74583333,71.66277778
Barmer	25.74583333,71.66277778
Barmer	25.74583333,71.66277778
Barmer	25.74583333,71.66277778
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.57444444,71.39861111
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.71666667,71.25555556
Barmer	25.875,71.54583333
Barmer	25.875,71.54583333
Barmer	25.875,71.54583333
Barmer	25.875,71.54583333
Barmer	25.875,71.54583333
Barmer	25.875,71.54583333
Barmer	25.875,71.54583333
Barmer	25.875,71.54583333
Barmer	25.875,71.54583333
Barmer	25.875,71.54583333
Barmer	25.875,71.54583333
Barmer	25.875,71.54583333
Barmer	25.73666667,71.1
Barmer	25.73666667,71.1
Barmer	25.73666667,71.1
Barmer	25.73666667,71.1
Barmer	25.73666667,71.1
Barmer	25.73666667,71.1
Barmer	25.73666667,71.1
Barmer	25.73666667,71.1
Barmer	25.73666667,71.1
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.79166667,71.6
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.98333333,71.11666667
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.60833333,71.28333333
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.67777778,71.22361111
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.73055556,71.62083333
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.48333333,71.4
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.70416667,71.4125
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.57638889,70.825
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.775,71.08333333
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.80833333,71.03888889
Barmer	25.92638889,71.75416667
Barmer	25.92638889,71.75416667
Barmer	25.92638889,71.75416667
Barmer	25.92638889,71.75416667
Barmer	25.92638889,71.75416667
Barmer	25.92638889,71.75416667
Barmer	25.92638889,71.75416667
Barmer	25.92638889,71.75416667
Barmer	25.92638889,71.75416667
Barmer	25.92638889,71.75416667
Barmer	25.92638889,71.75416667
Barmer	26.075,71.625
Barmer	26.075,71.625
Barmer	26.075,71.625
Barmer	26.075,71.625
Barmer	26.075,71.625
Barmer	26.075,71.625
Barmer	26.075,71.625
Barmer	26.075,71.625
Barmer	26.075,71.625
Barmer	26.075,71.625
Barmer	26.075,71.625
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.14166667,71.58333333
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.02916667,71.77916667
Barmer	26.35416667,71.74583333
Barmer	26.35416667,71.74583333
Barmer	26.35416667,71.74583333
Barmer	26.35416667,71.74583333
Barmer	26.35416667,71.74583333
Barmer	26.35416667,71.74583333
Barmer	26.35416667,71.74583333
Barmer	26.35416667,71.74583333
Barmer	26.35416667,71.74583333
Barmer	26.35416667,71.74583333
Barmer	26.35416667,71.74583333
Barmer	26.35416667,71.74583333
Barmer	26.25833333,71.725
Barmer	26.25833333,71.725
Barmer	26.25833333,71.725
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	26.2,71.825
Barmer	25.29166667,71.09722222
Barmer	25.29166667,71.09722222
Barmer	25.29166667,71.09722222
Barmer	25.29166667,71.09722222
Barmer	25.29166667,71.09722222
Barmer	25.29166667,71.09722222
Barmer	25.29166667,71.09722222
Barmer	25.29166667,71.09722222
Barmer	25.29166667,71.09722222
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	24.75277778,71.11666667
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.49444444,71.08611111
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.475,71.06666667
Barmer	25.26666667,71.01666667
Barmer	25.26666667,71.01666667
Barmer	25.26666667,71.01666667
Barmer	25.26666667,71.01666667
Barmer	25.26666667,71.01666667
Barmer	25.26666667,71.01666667
Barmer	25.26666667,71.01666667
Barmer	25.23944444,71.46666667
Barmer	25.23944444,71.46666667
Barmer	25.23944444,71.46666667
Barmer	25.23944444,71.46666667
Barmer	25.23944444,71.46666667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.48472222,71.02916667
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.21666667,71.43333333
Barmer	25.4875,70.93333333
Barmer	25.4875,70.93333333
Barmer	25.2,71.28333333
Barmer	25.2,71.28333333
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.15833333,71.45416667
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.10833333,71.53333333
Barmer	25.11666667,71.15
Barmer	25.11666667,71.15
Barmer	25.11666667,71.15
Barmer	25.11666667,71.15
Barmer	25.11666667,71.15
Barmer	25.11666667,71.15
Barmer	25.11666667,71.15
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.12222222,71.58888889
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.06805556,71.61666667
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	25.59583333,71.23333333
Barmer	24.92222222,71.15
Barmer	24.92222222,71.15
Barmer	24.92222222,71.15
Barmer	24.92222222,71.15
Barmer	24.92222222,71.15
Barmer	24.92222222,71.15
Barmer	24.92222222,71.15
Barmer	24.92222222,71.15
Barmer	24.92222222,71.15
Barmer	24.92222222,71.15
Barmer	24.92222222,71.15
Barmer	24.92222222,71.15
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	25.3375,70.86527778
Barmer	24.825,71.15833333
Barmer	24.825,71.15833333
Barmer	24.825,71.15833333
Barmer	24.825,71.15833333
Barmer	24.825,71.15833333
Barmer	24.825,71.15833333
Barmer	24.825,71.15833333
Barmer	24.825,71.15833333
Barmer	24.825,71.15833333
Barmer	24.825,71.15833333
Barmer	24.825,71.15833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.425,71.70833333
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.46666667,72.0125
Barmer	25.37916667,71.80833333
Barmer	25.37916667,71.80833333
Barmer	25.37916667,71.80833333
Barmer	25.37916667,71.80833333
Barmer	25.37916667,71.80833333
Barmer	25.37916667,71.80833333
Barmer	25.37916667,71.80833333
Barmer	25.37916667,71.80833333
Barmer	25.66111111,72.00833333
Barmer	25.66111111,72.00833333
Barmer	25.66111111,72.00833333
Barmer	25.29583333,71.77916667
Barmer	25.29583333,71.77916667
Barmer	25.29583333,71.77916667
Barmer	25.19583333,71.72083333
Barmer	25.19583333,71.72083333
Barmer	25.19583333,71.72083333
Barmer	25.19583333,71.72083333
Barmer	25.19583333,71.72083333
Barmer	25.19583333,71.72083333
Barmer	25.19583333,71.72083333
Barmer	25.19583333,71.72083333
Barmer	25.19583333,71.72083333
Barmer	25.31666667,71.8
Barmer	25.31666667,71.8
Barmer	25.31666667,71.8
Barmer	25.31666667,71.8
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.34583333,71.4
Barmer	25.06944444,71.70833333
Barmer	25.06944444,71.70833333
Barmer	25.06944444,71.70833333
Barmer	25.06944444,71.70833333
Barmer	25.06944444,71.70833333
Barmer	25.06944444,71.70833333
Barmer	25.06944444,71.70833333
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.56666667,71.9
Barmer	25.36111111,71.4875
Barmer	25.36111111,71.4875
Barmer	25.36111111,71.4875
Barmer	25.36111111,71.4875
Barmer	25.36111111,71.4875
Barmer	25.36111111,71.4875
Barmer	25.36111111,71.4875
Barmer	25.36111111,71.4875
Barmer	25.7625,72.3
Barmer	25.7625,72.3
Barmer	25.7625,72.3
Barmer	25.7625,72.3
Barmer	25.7625,72.3
Barmer	25.7625,72.3
Barmer	25.7625,72.3
Barmer	25.7625,72.3
Barmer	25.7625,72.3
Barmer	25.7625,72.3
Barmer	25.7625,72.3
Barmer	25.7625,72.3
Barmer	25.82916667,72.25833333
Barmer	25.82916667,72.25833333
Barmer	25.82916667,72.25833333
Barmer	25.82916667,72.25833333
Barmer	25.82916667,72.25833333
Barmer	25.82916667,72.25833333
Barmer	25.82916667,72.25833333
Barmer	25.82916667,72.25833333
Barmer	25.82916667,72.25833333
Barmer	25.82916667,72.25833333
Barmer	26.06666667,72.66666667
Barmer	26.06666667,72.66666667
Barmer	26.06666667,72.66666667
Barmer	26.06666667,72.66666667
